|-------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------|-----------|
| Environment variable                      | Description                                                               | Default value                               | Configured value |
|-------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------|-----------|
| AUTOMATIC_BILLING_PROFILE_DESCRIPTION     | Use billing information for profile description                           |                                             | Boolean   |
| AUTOMATIC_BILLING_PROFILE_EMAIL           | Use profile contact email as billing email                                |                                             | Boolean   |
| AUTOMATIC_BILLING_PROFILE_FULL_NAME       | Use profile full name as billing full name                                |                                             | Boolean   |
| MAXIMUM_STRIPE_RETRIES                    | Retry Stripe web requests                                                 | 0                                           | Integer   |
| OVERDUE_INVOICE_THRESHOLD                 | Duration in days to allow open invoices before enforcing payment          | 1                                           | Integer   |
| REQUIRE_BILLING_PROFILE_ADDRESS           | Require address with billing information                                  |                                             | Boolean   |
| SKIP_CONFIRM_SUBSCRIPTION                 | Auto-submit "confirm subscription" if the user has billing information    |                                             | Boolean   |
| START_SUBSCRIPTION_PATH                   | Alternate URL path to your start subscription flow                        | /account/subscriptions/start-subscription   | String    |
| STRIPE_JS                                 | Use client-side stripe.js in browser                                      | unset                                       | Integer   |
| STRIPE_KEY                                | The `sk_test_xxx` key from Stripe                                         |                                             | String    |
| STRIPE_PUBLISHABLE_KEY                    | The `pk_test_xxx` key from Stripe                                         |                                             | String    |
| SUBSCRIPTIONS_WEBHOOK_ENDPOINT_SECRET     | Secret provided by Stripe to sign webhooks                                |                                             | String    |
| SUBSCRIPTION_REFUND_PERIOD                | Time in seconds after an invoice is paid that users may refund a charge   | 3600                                        | Integer   |
|-------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------|-----------|

2022-06-16T11:07:49.231Z
